OBJECTID,Name,Baujahr,Gesamtleistung (MW),Anzahl,Typ (WKA),Ort,Landkreis,Breitengrad,Längengrad,Projektierer / Betreiber,Bemerkungen,x,y
2884,Windpark Groß Berßen,1995,1.5,3,Enercon E-40/5.40 (3×),Groß Berßen,EL,52.7886,7.4997,,,834862.785100002,6943989.9732
2885,Windpark Groß Charlottengroden,2005,14.3,7,Enercon E-70 (6×),Neufunnixsiel,WTM,53.67,7.8103,Bioenergie Nord GmbH,,869438.618900001,7107904.3238
2886,Windpark Groß Charlottengroden,2006,,,Enercon E-82 E2 (1×),,,53.67,7.8103,,,869438.618900001,7107904.3238
2887,Windpark Groß Charlottengroden,2010,,,,,,53.67,7.8103,,,869438.618900001,7107904.3238
2888,Windpark Groß Eilstorf,2011,51,17,Vestas V112-3.0MW (17×),Groß Eilstorf,HK,52.8106,9.4347,,,1050265.9998,6948040.6016
2889,Windpark Groß Hehlen,2008,9,3,Vestas V90-2MW (3×),Groß Hehlen,CE,52.6842,10.0419,Energiekontor,,1117859.1946,6924795.7701
2890,Windpark Groß Hilligsfeld,2017-2018,9.9,3,Nordex N131/3300 (3×),Groß Hilligsfeld,HM,52.1333,9.4225,Landwind,,1048907.902,6824263.7834
2891,Windpark Groß Ippener,2004,12,6,Vestas V80-2MW (5×),Groß Ippener,OL,53.0103,8.6239,"BHT-Windpark, Volkswind",,960008.1567,6984903.3689
2892,Windpark Groß Ippener,2012,,,Vestas V90-2MW (1×),,,53.0103,8.6239,,,960008.1567,6984903.3689
2893,Windpark Groß Lafferde,1999,20.5,14,Enercon E-40/5.40 (2×),Groß Lafferde,PE,52.2425,10.2592,WindStrom,"Repowering geplant (2× Enercon E-115 und 1× Enercon E-82 E2 statt 2× Enercon E-40/5.40, 2× AN Bonus 1000/54 und 1× AN Bonus 1300/62)",1142048.9199,6844091.8925
2894,Windpark Groß Lafferde,2005,,,AN Bonus 1000/54 (2×),Oberg,,52.2425,10.2592,,,1142048.9199,6844091.8925
2895,Windpark Groß Lafferde,2006,,,AN Bonus 1300/62 (4×),,,52.2425,10.2592,,,1142048.9199,6844091.8925
2896,Windpark Groß Lafferde,2012,,,Vestas V80-2MW (5×),,,52.2425,10.2592,,,1142048.9199,6844091.8925
2897,Windpark Groß Lafferde,,,,Enercon E-70 E4 (1×),,,52.2425,10.2592,,,1142048.9199,6844091.8925
2898,Windpark Groß Lessen-Wehrbleck,2003,22.6,11,Vestas V80-2MW (9×),Groß Lessen,DH,52.65,8.7117,"Volkswind, CaSa Energy",,969782.0079,6918517.9933
2899,Windpark Groß Lessen-Wehrbleck,2017,,,Enercon E-82 E2 (2×),Nordholz,,52.65,8.7117,,,969782.0079,6918517.9933
2900,Windpark Groß Mackenstedt,1995,17,13,Vestas V80-2MW (3×),Groß Mackenstedt,DH,52.9892,8.6519,,errichtet an der A 1,963125.102400001,6981000.4625
2901,Windpark Groß Mackenstedt,2003,,,Vestas V66-1.65MW (2×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2902,Windpark Groß Mackenstedt,,,,Enercon E-70 (1×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2903,Windpark Groß Mackenstedt,,,,Enercon E-66/18.70 (1×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2904,Windpark Groß Mackenstedt,,,,Enercon E-58 (1×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2905,Windpark Groß Mackenstedt,,,,Enercon E-40/5.40 (1×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2906,Windpark Groß Mackenstedt,,,,Enercon E-40/6.44 E1 (2×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2907,Windpark Groß Mackenstedt,,,,Enercon E-40/6.44 (2×),,,52.9892,8.6519,,,963125.102400001,6981000.4625
2908,Windpark Groß Oesingen-Steinhorst-Zahrenholz,2021,54,15,Nordex N131/3600 (15×),Groß Oesingen,GF,52.6522,10.4108,WKN,,1158924.9548,6918921.6791
2909,Windpark Groß Oesingen-Steinhorst-Zahrenholz,2022,,,,Steinhorst,,52.6522,10.4108,,,1158924.9548,6918921.6791
2910,Windpark Großenwede,2011,23.05,10,Enercon E-82 E2 (9×),Großenwede,HK,53.1397,9.7314,Windwärts,,1083294.4927,7008880.561
2911,Windpark Großenwede,2016,,,Enercon E-92 (1×),,,53.1397,9.7314,,,1083294.4927,7008880.561
2912,Windpark Grüppenbühren,2001,10.75,7,Vestas V66-1.65MW (6×),Grüppenbühren,OL,53.0572,8.5422,Projekt GmbH,,950913.3543,6993585.3888
2913,Windpark Grüppenbühren,2004,,,Vestas V52-850kW (1×),,,53.0572,8.5422,,,950913.3543,6993585.3888
2914,Windpark Güntersen,2000,2.4,4,AN Bonus 600/44 (4×),Güntersen,GÖ,51.5239,9.7503,SkyPower Windenergie,,1085398.4311,6714494.057
2915,Windpark Haaßel,2014,9.2,4,Enercon E-70 E4 (4×),Altenmedingen,UE,53.1222,10.6261,WestWind,,1182892.0411,7005633.6784
2916,Windpark Häcklingen-Melbeck,2003,20.95,9,Enercon E-66/18.70 (4×),Melbeck,LG,53.1894,10.3867,,,1156242.155,7018108.9262
2917,Windpark Häcklingen-Melbeck,2017,,,GE Wind Energy 2.75-120 (5×),Häcklingen,,53.1894,10.3867,,,1156242.155,7018108.9262
2918,Windpark Haidhäuser,2016,37.95,11,Vestas V126-3.45MW (11×),Haidhäuser,OL,52.9703,8.4883,BWP Dötlingen,,944913.2337,6977506.1127
2919,Windpark Halle-Heyen,2003-2004,25.9,13,Enercon E-66/18.70 (11×),Halle,HOL,52.0075,9.5353,"RWE Innogy, Hurrikan Power",,1061464.7406,6801481.6642
2920,Windpark Halle-Heyen,2017,,,Enercon E-101 (2×),Heyen,,52.0075,9.5353,,,1061464.7406,6801481.6642
2921,Windpark Hambergen,1995,3.9,6,Tacke TW 600 (1×),Hambergen,OHZ,53.3097,8.835,WKN AG,,983507.701200001,7040490.7657
2922,Windpark Hambergen,2001,,,Vestas V47-660kW (5×),,,53.3097,8.835,,,983507.701200001,7040490.7657
2923,Windpark Hämelhausen,2016,33.18,5,Vestas V126-3.3MW (5×),Hämelhausen,NI,52.7894,9.2733,PPG-Plan GmbH,Prototyp der neuen Enercon E-160 EP5 E3,1032299.034,6944137.2329
2924,Windpark Hämelhausen,,,,Enercon E-160 EP5 E3 (3×),,,52.7894,9.2733,,,1032299.034,6944137.2329
2925,Windpark Hamersen,2007,18,9,Enercon E-82 (9×),Hamersen,ROW,53.2433,9.4539,Energiequelle,,1052403.334,7028129.2517
2926,Windpark Hamswehrum,1997,14,10,Enercon E-40/5.40 (4×),Hamswehrum,AUR,53.4433,7.035,Alterric Windservice,,783132.617699999,7065421.1106
2927,Windpark Hamswehrum,2004,,,Enercon E-66/20.70 (6×),,,53.4433,7.035,,,783132.617699999,7065421.1106
